Exposure Amount ($);Credit Score;Loan Term (Months);Interest Rate (%);Income ($);Loan to Value Ratio (%);Debt to Income Ratio (%);Employment History (Years);Previous Defaults;Home Ownership;Loan Purpose;Loan Type;Region;LGD%
238203;729;36;3,81;47603;88;24;4;2;Rent;Home Improvement;Adjustable Rate;South;0,009999874
170008;745;36;6,68;67474;71;43;4;2;Mortgage;Auto Loan;Adjustable Rate;South;0,757182015
198937;681;24;8,38;77036;74;46;6;1;Own;Personal Loan;Fixed Rate;West;0,575146906
262045;684;48;5,45;55083;85;24;0;0;Mortgage;Home Purchase;Adjustable Rate;West;0,009998283
243378;758;72;6,64;70148;78;40;5;0;Mortgage;Debt Consolidation;Fixed Rate;North;1
101136;745;48;3,65;59976;75;58;1;0;Mortgage;Home Improvement;Adjustable Rate;North;0,310947635
197504;713;60;6,37;26494;77;32;3;1;Rent;Personal Loan;Adjustable Rate;West;0,025796946
142432;706;48;2,22;68838;89;33;4;0;Mortgage;Personal Loan;Adjustable Rate;North;0,027030443
144839;655;48;7,05;110258;80;43;3;2;Mortgage;Debt Consolidation;Fixed Rate;West;0,873183328
170530;679;72;10,13;67740;62;45;4;1;Rent;Home Purchase;Fixed Rate;North;0,668732774
157202;739;60;5,64;73759;90;17;6;1;Rent;Home Purchase;Fixed Rate;East;0,640430783
222714;711;24;5,53;29449;79;30;5;1;Mortgage;Auto Loan;Adjustable Rate;South;0,009999371
188052;676;36;4,1;46017;89;20;3;1;Mortgage;Debt Consolidation;Fixed Rate;South;0,010002552
156084;759;24;5,91;67869;95;27;6;0;Own;Personal Loan;Adjustable Rate;West;0,324383025
172193;698;48;3,94;72101;66;39;5;1;Own;Home Purchase;Adjustable Rate;East;0,153229225
166684;618;24;6,34;72433;90;33;6;2;Mortgage;Auto Loan;Fixed Rate;East;0,012082743
224704;748;36;6,96;62935;91;30;2;0;Own;Personal Loan;Fixed Rate;North;0,371061485
139742;775;36;4,62;66878;79;31;5;2;Own;Home Purchase;Fixed Rate;East;0,582888466
165653;645;24;7,84;104324;69;44;4;1;Rent;Home Improvement;Fixed Rate;West;0,346712707
107295;727;60;6,34;52102;76;19;3;0;Own;Auto Loan;Fixed Rate;West;0,010000466
22351;697;72;5,45;49546;91;18;3;1;Own;Personal Loan;Adjustable Rate;North;0,010021923
182681;650;72;6,48;42965;71;22;6;2;Own;Auto Loan;Adjustable Rate;South;0,01000104
193222;670;60;4,1;37529;86;29;4;1;Mortgage;Debt Consolidation;Adjustable Rate;South;0,009998861
112892;652;60;7,58;80366;79;26;7;0;Rent;Auto Loan;Fixed Rate;East;0,169737448
263488;730;72;7,24;61870;63;32;3;1;Own;Personal Loan;Adjustable Rate;South;0,601249393
77282;693;36;7,03;89530;89;43;6;2;Rent;Debt Consolidation;Fixed Rate;West;0,96801325
152288;654;60;9,37;31400;64;25;3;1;Mortgage;Debt Consolidation;Fixed Rate;East;0,010000788
140641;698;60;6,38;77800;82;35;3;0;Mortgage;Personal Loan;Fixed Rate;East;0,400302899
226639;776;36;4,25;32950;98;39;4;2;Rent;Home Improvement;Adjustable Rate;North;0,643402062
223468;693;24;8,29;70546;78;15;6;0;Mortgage;Debt Consolidation;Adjustable Rate;East;0,010001432
157747;682;24;6,57;75456;87;30;4;0;Own;Home Purchase;Fixed Rate;East;0,009997021
168908;679;36;3,58;55905;88;36;5;0;Own;Home Improvement;Adjustable Rate;North;0,009999526
105611;673;72;6,98;73157;90;20;4;1;Own;Home Improvement;Adjustable Rate;North;0,353220782
50960;621;24;7,45;41500;76;40;3;2;Rent;Personal Loan;Adjustable Rate;South;0,010007849
132604;705;48;8,13;66935;88;33;6;2;Rent;Home Purchase;Adjustable Rate;East;0,807124974
157817;736;60;7,22;17763;81;29;5;1;Rent;Auto Loan;Fixed Rate;South;0,078141138
211515;793;60;7,99;44304;86;40;3;1;Rent;Home Purchase;Adjustable Rate;West;1
210119;717;48;8,11;64357;95;39;6;1;Mortgage;Debt Consolidation;Fixed Rate;South;0,844745121
130634;665;72;5,51;42959;72;42;4;2;Own;Home Improvement;Fixed Rate;West;0,216367867
134885;758;72;7,92;78816;102;14;5;0;Rent;Auto Loan;Fixed Rate;West;0,904377803
97572;805;48;5,85;57700;73;32;7;2;Mortgage;Home Purchase;Fixed Rate;West;0,919105891
78999;661;24;5,95;50657;80;27;6;1;Rent;Personal Loan;Adjustable Rate;South;0,010000127
64686;673;36;5,66;70972;78;32;6;0;Own;Auto Loan;Fixed Rate;West;0,010002164
247539;599;48;6,36;280;86;16;3;0;Mortgage;Debt Consolidation;Fixed Rate;West;0,009998424
124517;666;72;6,96;19419;91;31;8;0;Mortgage;Debt Consolidation;Adjustable Rate;East;0,009998635
128096;764;48;7,82;53378;82;22;3;1;Rent;Debt Consolidation;Fixed Rate;East;0,358809018
87360;746;60;6,55;38731;84;41;7;1;Own;Home Improvement;Adjustable Rate;East;0,660176282
188875;661;60;4,82;63119;74;32;6;2;Rent;Home Improvement;Fixed Rate;East;0,309929848
69305;781;72;8,09;69554;80;29;6;0;Mortgage;Home Purchase;Fixed Rate;North;0,948921434
139363;755;72;9,81;36690;69;29;6;2;Own;Home Purchase;Fixed Rate;South;0,7885809
105227;740;36;4,42;84573;66;16;5;0;Mortgage;Debt Consolidation;Fixed Rate;North;0,009997434
169345;617;60;6,31;67567;71;23;6;0;Mortgage;Auto Loan;Fixed Rate;South;0,009997343
124460;682;48;5,88;70858;85;42;9;2;Own;Home Purchase;Fixed Rate;East;0,853969147
90968;694;36;8,98;52438;78;29;6;0;Rent;Auto Loan;Fixed Rate;West;0,010003518
148591;727;60;4,73;61356;90;19;7;2;Mortgage;Auto Loan;Adjustable Rate;East;0,614074877
171417;791;72;7,58;28878;83;33;5;1;Rent;Personal Loan;Adjustable Rate;East;0,801268252
153326;670;60;4,57;64847;69;36;4;0;Mortgage;Personal Loan;Fixed Rate;South;0,009998304
165124;664;24;8,07;40187;70;29;8;0;Mortgage;Auto Loan;Adjustable Rate;East;0,009998547
118284;773;72;8,85;72914;85;21;7;2;Mortgage;Debt Consolidation;Fixed Rate;South;1
131863;733;72;6,05;53126;81;30;4;0;Rent;Home Improvement;Fixed Rate;North;0,320855737
116377;674;72;8,28;55937;111;25;7;0;Rent;Home Purchase;Fixed Rate;West;0,590468907
132022;694;24;3,8;53484;94;31;2;1;Mortgage;Personal Loan;Fixed Rate;West;0,009998334
109343;652;72;7,93;26980;77;47;4;2;Own;Debt Consolidation;Adjustable Rate;West;0,26567773
63686;670;24;7;97221;76;29;3;1;Mortgage;Home Purchase;Fixed Rate;North;0,010002198
158871;685;60;6,49;87027;83;39;3;0;Rent;Home Improvement;Fixed Rate;East;0,512711571
129911;715;60;8,24;74286;82;14;6;1;Mortgage;Home Purchase;Adjustable Rate;West;0,425214185
68490;787;24;7,21;73820;71;18;3;2;Rent;Home Purchase;Adjustable Rate;South;0,242122938
173139;626;24;5,65;101549;68;25;7;0;Rent;Home Improvement;Fixed Rate;West;0,009997747
